id,pub,doi,exp_location,lat,long,unique_exp,exp,trial,type,feedback_manip,type_manip,conditioning_phase_source,inoculum_source,feedback_duration,focal_family,focal_sp,focal_func,focal_anatomical_group,focal_life_cycle,growth_response,N,nCnF,nCnF_sd,yCnF,yCnF_sd,nCyF,nCyF_sd,yCyF,yCyF_sd,vi_nCnF,vi_yCnF,vi_nCyF,vi_yCyF,RII_CSD,RII_CSD_Vi,RII_PSF,RII_PSF_Vi,RII_Int,RII_Int_Vi,
13,"Bennett, J.A. & Cahill, J.F. (2016). Fungal effects on plant-plant interactions contribute to grassland plant abundances: Evidence from the field. J. Ecol., 104, 755–764.",10.1111/1365-2745.12558,field,53.0841542,-111.564035,13,11,1,competition,fungicide,alone_together,applied fungicide treatment directly to field soil (feedback phase immediately imposed),conditioned_in_field,96,Apiaceae,Zizia aptera,forb,dicot,perennial,shoot biomass,8,5.030000,2.320000,1.132900,0.092200,6.130000,2.820000,1.325500,0.190200,0.026592,0.000828,0.026454,0.002574,-0.632348,0.027420,0.098566,0.053046,-0.020223,0.056447,
24,"Callaway, R.M., et al. (2003). Soil Fungi and the Effects of an Invasive Forb on Grasses : Neighbor Identity Matters. Ecology, 84, 129–135.",10.1890/0012-9658(2003)084[0129:SFATEO]2.0CO;2,gh,34.5841542,-120.0973685,18,1,1,competition,fungicide,alone_together,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,7,Asteraceae,Centaurea stoebe,forb,dicot,perennial,total biomass,20,0.159170,0.134750,0.054370,0.087880,0.071400,0.134750,0.261350,0.166990,0.035835,0.130627,0.178087,0.020413,-0.490775,0.166461,-0.380665,0.213921,1.036246,0.364961,
25,"Callaway, R.M., et al. (2003). Soil Fungi and the Effects of an Invasive Forb on Grasses : Neighbor Identity Matters. Ecology, 84, 129–135.",10.1890/0012-9658(2003)084[0129:SFATEO]2.0CO;3,gh,34.5841542,-120.0973685,18,1,2,competition,fungicide,alone_together,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,7,Asteraceae,Centaurea stoebe,forb,dicot,perennial,total biomass,20,0.159170,0.134750,0.038650,0.026360,0.071400,0.134750,0.028820,0.026386,0.035835,0.023257,0.178087,0.041910,-0.609241,0.059092,-0.380665,0.213921,0.234971,0.279089,
26,"Callaway, R.M., et al. (2003). Soil Fungi and the Effects of an Invasive Forb on Grasses : Neighbor Identity Matters. Ecology, 84, 129–135.",10.1890/0012-9658(2003)084[0129:SFATEO]2.0CO;4,gh,34.5841542,-120.0973685,19,3,1,competition,fungicide,alone_together,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,7,Poaceae,Nassella pulchra,grass,monocot,perennial,total biomass,20,0.466670,0.204210,0.421920,0.220540,0.426480,0.253220,0.299540,0.183805,0.009574,0.013661,0.017627,0.018827,-0.050361,0.023235,-0.044998,0.027201,-0.124630,0.059689,
27,"Callaway, R.M., et al. (2003). Soil Fungi and the Effects of an Invasive Forb on Grasses : Neighbor Identity Matters. Ecology, 84, 129–135.",10.1890/0012-9658(2003)084[0129:SFATEO]2.0CO;5,gh,34.5841542,-120.0973685,20,4,1,competition,fungicide,alone_together,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,7,Poaceae,Avena barbata,grass,monocot,annual,total biomass,20,1.345020,0.631610,1.542880,0.645640,0.766410,0.617480,1.187070,0.687725,0.011026,0.008756,0.032456,0.016782,0.068513,0.019781,-0.274037,0.043482,0.143701,0.069019,
28,"Callaway, R.M., et al. (2004). Soil fungi alter interactions between the invader centaurea maculosa and north american natives. Ecology, 85, 1062–1071.",10.1890/02-0775,field,46.87215,-113.994,21,1,1,competition,fungicide,alone_together,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,68,Asteraceae,Centaurea stoebe,forb,dicot,perennial,shoot biomass,12,4.723550,2.648320,1.802050,3.026660,5.160410,4.350820,8.901020,5.296646,0.026195,0.235078,0.059237,0.029508,-0.447698,0.261273,0.044199,0.085432,0.619066,0.350018,
29,"Callaway, R.M., et al. (2004). Soil fungi alter interactions between the invader centaurea maculosa and north american natives. Ecology, 85, 1062–1071.",10.1890/02-0775,field,46.87215,-113.994,21,1,2,competition,fungicide,alone_together,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,68,Asteraceae,Centaurea stoebe,forb,dicot,perennial,shoot biomass,12,4.723550,2.648320,3.058020,3.121240,5.160410,4.350820,9.692830,3.972493,0.026195,0.086815,0.059237,0.013997,-0.214035,0.113010,0.044199,0.085432,0.476144,0.186244,
30,"Callaway, R.M., et al. (2004). Soil fungi alter interactions between the invader centaurea maculosa and north american natives. Ecology, 85, 1062–1071.",10.1890/02-0775,field,46.87215,-113.994,21,1,3,competition,fungicide,alone_together,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,68,Asteraceae,Centaurea stoebe,forb,dicot,perennial,shoot biomass,12,4.723550,2.648320,1.092150,1.607910,5.160410,4.350820,0.218430,0.283745,0.026195,0.180625,0.059237,0.140621,-0.624413,0.206820,0.044199,0.085432,-0.710866,0.406678,
31,"Callaway, R.M., et al. (2004). Soil fungi alter interactions between the invader centaurea maculosa and north american natives. Ecology, 85, 1062–1071.",10.1890/02-0775,field,46.87215,-113.994,21,1,4,competition,fungicide,alone_together,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,68,Asteraceae,Centaurea stoebe,forb,dicot,perennial,shoot biomass,12,4.723550,2.648320,0.382250,0.662080,5.160410,4.350820,2.293520,5.391216,0.026195,0.250003,0.059237,0.460455,-0.850268,0.276198,0.044199,0.085432,0.670089,0.795890,
32,"Callaway, R.M., et al. (2004). Soil fungi alter interactions between the invader centaurea maculosa and north american natives. Ecology, 85, 1062–1071.",10.1890/02-0775,field,46.87215,-113.994,21,1,5,competition,fungicide,alone_together,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,68,Asteraceae,Centaurea stoebe,forb,dicot,perennial,shoot biomass,12,4.723550,2.648320,1.146760,2.648320,5.160410,4.350820,0.873720,0.851234,0.026195,0.444441,0.059237,0.079099,-0.609302,0.470637,0.044199,0.085432,-0.179335,0.608973,
33,"Callaway, R.M., et al. (2004). Soil fungi alter interactions between the invader centaurea maculosa and north american natives. Ecology, 85, 1062–1071.",10.1890/02-0775,field,46.87215,-113.994,21,1,6,competition,fungicide,alone_together,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,68,Asteraceae,Centaurea stoebe,forb,dicot,perennial,shoot biomass,12,4.723550,2.648320,0.600680,0.662080,5.160410,4.350820,0.109220,0.094570,0.026195,0.101240,0.059237,0.062477,-0.774360,0.127436,0.044199,0.085432,-0.736494,0.249150,
456,"Zhang, Q., et al. (2014). Arbuscular mycorrhizal fungal mediation of plant-plant interactions in a marshland plant community. The Scientific World Journal, 2014. ",10.1155/2014/923610,field,116.9908,30.468,176,1,1,competition,fungicide,alone_together,fungicide applied directly in field experiment,conditioned_in_field,23,Polygonaceae,Polygonum pubescens,forb,dicot,annual,shoot biomass,10,11.913000,5.024000,11.993000,4.978000,13.049000,3.700000,13.384000,3.462000,0.017785,0.017229,0.008040,0.006691,0.003346,0.035014,0.045509,0.025825,0.009304,0.049745,
457,"Zhang, Q., et al. (2014). Arbuscular mycorrhizal fungal mediation of plant-plant interactions in a marshland plant community. The Scientific World Journal, 2014. ",10.1155/2014/923610,field,116.9908,30.468,177,2,1,competition,fungicide,alone_together,fungicide applied directly in field experiment,conditioned_in_field,23,Fabaceae,Kummerowia striata,forb,dicot,annual,shoot biomass,10,1.780000,0.737000,2.304000,0.981000,3.123000,0.987000,5.824000,1.423000,0.017143,0.018129,0.009988,0.005970,0.128306,0.035272,0.273914,0.027132,0.159157,0.051230,
458,"Zhang, Q., et al. (2014). Arbuscular mycorrhizal fungal mediation of plant-plant interactions in a marshland plant community. The Scientific World Journal, 2014. ",10.1155/2014/923610,field,116.9908,30.468,178,3,1,competition,fungicide,alone_together,fungicide applied directly in field experiment,conditioned_in_field,23,Lamaceae,Leonurus artemisia,forb,dicot,annual,shoot biomass,10,0.667000,0.215000,0.732000,0.324000,1.153000,0.333000,2.264000,0.807000,0.010390,0.019592,0.008341,0.012706,0.046462,0.029982,0.267033,0.018731,0.244315,0.051029,
459,"Zhang, Q., et al. (2014). Arbuscular mycorrhizal fungal mediation of plant-plant interactions in a marshland plant community. The Scientific World Journal, 2014. ",10.1155/2014/923610,field,116.9908,30.468,179,4,1,competition,fungicide,alone_together,fungicide applied directly in field experiment,conditioned_in_field,23,Asteraceae,Ixeris polycephala,forb,dicot,biennial,shoot biomass,10,1.330000,0.370000,1.423000,0.188000,1.876000,0.560000,3.127000,0.834000,0.007739,0.001745,0.008911,0.007113,0.033781,0.009485,0.170306,0.016650,0.204200,0.025509,
460,"Zhang, Q., et al. (2014). Arbuscular mycorrhizal fungal mediation of plant-plant interactions in a marshland plant community. The Scientific World Journal, 2014. ",10.1155/2014/923610,field,116.9908,30.468,180,5,1,competition,fungicide,alone_together,fungicide applied directly in field experiment,conditioned_in_field,23,Asteraceae,Conyza canadensis,forb,dicot,annual,shoot biomass,10,3.985000,2.050000,3.444000,1.816000,4.330000,1.957000,2.865000,1.194000,0.026464,0.027804,0.020427,0.017368,-0.072823,0.054268,0.041491,0.046891,-0.133265,0.092063,
43,"Crawford, K.M. & Knight, T.M. (2017). Competition overwhelms the positive plant–soil feedback generated by an invasive plant. Oecologia, 183, 211–220.",10.1007/s00442-016-3759-2,gh,38.5249,-90.5624,30,1,1,competition,live_sterile,alone_together,soil from field restoration exp; used as inoculum in feedback phase ,conditioned_in_field,6,Asteraceae,Aster laevis ,forb,dicot,perennial,shoot biomass,5,0.161630,0.076830,0.140500,0.127720,0.260180,0.040550,0.078210,0.031953,0.045191,0.165270,0.004858,0.033384,-0.069937,0.210461,0.233636,0.050049,-0.518442,0.248703,
44,"Crawford, K.M. & Knight, T.M. (2017). Competition overwhelms the positive plant–soil feedback generated by an invasive plant. Oecologia, 183, 211–220.",10.1007/s00442-016-3759-2,gh,38.5249,-90.5624,31,2,1,competition,live_sterile,alone_together,soil from field restoration exp; used as inoculum in feedback phase ,conditioned_in_field,6,Asclepiadaceae,Asclepias syriaca ,forb,dicot,perennial,shoot biomass,5,0.077430,0.053190,0.077980,0.127640,0.223670,0.044240,0.054230,0.019655,0.094378,0.535842,0.007824,0.026272,0.003539,0.630221,0.485686,0.102202,-0.665324,0.664317,
45,"Crawford, K.M. & Knight, T.M. (2017). Competition overwhelms the positive plant–soil feedback generated by an invasive plant. Oecologia, 183, 211–220.",10.1007/s00442-016-3759-2,gh,38.5249,-90.5624,32,3,1,competition,live_sterile,alone_together,soil from field restoration exp; used as inoculum in feedback phase ,conditioned_in_field,6,Asteraceae,Coreopsis tripteris ,forb,dicot,perennial,shoot biomass,5,0.101610,0.047280,0.174020,0.127670,0.406380,0.058980,0.137940,0.095838,0.043302,0.107649,0.004213,0.096544,0.262707,0.150951,0.599953,0.047515,-0.715609,0.251708,
46,"Crawford, K.M. & Knight, T.M. (2017). Competition overwhelms the positive plant–soil feedback generated by an invasive plant. Oecologia, 183, 211–220.",10.1007/s00442-016-3759-2,gh,38.5249,-90.5624,33,4,1,competition,live_sterile,alone_together,soil from field restoration exp; used as inoculum in feedback phase ,conditioned_in_field,6,Asteraceae,Echinacea pallida,forb,dicot,perennial,shoot biomass,5,0.078210,0.059100,0.098800,0.127670,0.214910,0.058970,0.079890,0.083540,0.114204,0.333960,0.015058,0.218690,0.116321,0.448163,0.466362,0.129262,-0.572188,0.681912,
47,"Crawford, K.M. & Knight, T.M. (2017). Competition overwhelms the positive plant–soil feedback generated by an invasive plant. Oecologia, 183, 211–220.",10.1007/s00442-016-3759-2,gh,38.5249,-90.5624,34,5,1,competition,live_sterile,alone_together,soil from field restoration exp; used as inoculum in feedback phase ,conditioned_in_field,6,Asteraceae,Heliopsis helianthoides ,forb,dicot,perennial,shoot biomass,5,0.115600,0.065010,0.175850,0.099290,0.236080,0.066340,0.088870,0.036850,0.063252,0.063761,0.015793,0.034388,0.206725,0.127013,0.342584,0.079045,-0.671158,0.177194,
48,"Crawford, K.M. & Knight, T.M. (2017). Competition overwhelms the positive plant–soil feedback generated by an invasive plant. Oecologia, 183, 211–220.",10.1007/s00442-016-3759-2,gh,38.5249,-90.5624,35,6,1,competition,live_sterile,alone_together,soil from field restoration exp; used as inoculum in feedback phase ,conditioned_in_field,6,Fabaceae,Lespedeza capitata ,forb,dicot,perennial,shoot biomass,5,0.034060,0.053180,0.056180,0.099290,0.283630,0.084770,0.115430,0.039310,0.487570,0.624709,0.017865,0.023195,0.245124,1.112279,0.785577,0.505436,-0.440318,1.153340,
49,"Crawford, K.M. & Knight, T.M. (2017). Competition overwhelms the positive plant–soil feedback generated by an invasive plant. Oecologia, 183, 211–220.",10.1007/s00442-016-3759-2,gh,38.5249,-90.5624,36,7,1,competition,live_sterile,alone_together,soil from field restoration exp; used as inoculum in feedback phase ,conditioned_in_field,6,Asteraceae,Liatris pycnostachya ,forb,dicot,perennial,shoot biomass,5,0.013300,0.059090,0.025380,0.085080,0.041060,0.040560,0.016730,0.019655,3.947796,2.247510,0.195159,0.276049,0.312306,6.195306,0.510670,4.142955,-0.716084,6.666514,
50,"Crawford, K.M. & Knight, T.M. (2017). Competition overwhelms the positive plant–soil feedback generated by an invasive plant. Oecologia, 183, 211–220.",10.1007/s00442-016-3759-2,gh,38.5249,-90.5624,37,8,1,competition,live_sterile,alone_together,soil from field restoration exp; used as inoculum in feedback phase ,conditioned_in_field,6,Onagraceae,Oenothera biennis ,forb,dicot,biennial,shoot biomass,5,0.862140,0.224590,2.551670,0.638470,0.616080,0.106880,0.418010,0.179377,0.013572,0.012522,0.006019,0.036829,0.494910,0.026094,-0.166457,0.019592,-0.552024,0.068943,
51,"Crawford, K.M. & Knight, T.M. (2017). Competition overwhelms the positive plant–soil feedback generated by an invasive plant. Oecologia, 183, 211–220.",10.1007/s00442-016-3759-2,gh,38.5249,-90.5624,38,9,1,competition,live_sterile,alone_together,soil from field restoration exp; used as inoculum in feedback phase ,conditioned_in_field,6,Asteraceae,Rudbeckia hirta ,forb,dicot,annual/biennial/perennial,shoot biomass,5,0.236100,0.135940,0.077960,0.113480,0.337250,0.044240,0.078650,0.022115,0.066303,0.423765,0.003442,0.015812,-0.503534,0.490068,0.176419,0.069744,-0.172013,0.509322,
52,"Crawford, K.M. & Knight, T.M. (2017). Competition overwhelms the positive plant–soil feedback generated by an invasive plant. Oecologia, 183, 211–220.",10.1007/s00442-016-3759-2,gh,38.5249,-90.5624,39,10,1,competition,live_sterile,alone_together,soil from field restoration exp; used as inoculum in feedback phase ,conditioned_in_field,6,Fabaceae,Lespedeza cuneata ,forb,dicot,perennial,shoot biomass,5,0.030320,0.065000,0.066200,0.127670,0.267760,0.081100,0.119500,0.036873,0.919175,0.743861,0.018348,0.019042,0.371736,1.663036,0.796565,0.937523,-0.509543,1.700425,
57,"Emam, T.M., Espeland, E.K., & Rinella, M.J. (2014). Soil sterilization alters interactions between the native grass Bouteloua gracilis and invasive Bromus tectorum. J. Arid Environ., 111, 91–97.",10.1016/j.jaridenv.2014.08.006,gh,44.4488528,105.5421583,43,1,1,competition,live_sterile,alone_together,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,9,Poaceae,Bromus tectorum,grass,monocot,annual,shoot biomass,15,0.297700,0.084790,0.232950,0.079790,0.553880,0.134620,0.522600,0.254339,0.005408,0.007821,0.003938,0.015790,-0.122020,0.013229,0.300829,0.009346,0.082534,0.032958,
58,"Emam, T.M., Espeland, E.K., & Rinella, M.J. (2014). Soil sterilization alters interactions between the native grass Bouteloua gracilis and invasive Bromus tectorum. J. Arid Environ., 111, 91–97.",10.1016/j.jaridenv.2014.08.006,gh,44.4488528,105.5421583,44,2,1,competition,live_sterile,alone_together,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,9,Poaceae,Bouteloua gracilis,grass,monocot,perennial,shoot biomass,15,0.030660,0.043750,0.022000,0.049430,0.061320,0.035790,0.028310,0.042061,0.135744,0.336546,0.022711,0.147157,-0.164451,0.472290,0.333333,0.158455,-0.207911,0.642157,
250,"Liao, H., et al. (2015). Plant diversity, soil biota and resistance to exotic invasion. Divers. Distrib., 21, 826–835.",10.1111/ddi.12319,gh,46.8411111,-114.0613889,103,1,1,competition,live_sterile,alone_together,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,12,Asteraceae,Achillea millefolium ,forb,dicot,perennial,total biomass,6,0.048000,0.016850,0.013000,0.006690,0.036170,0.025470,0.015830,0.008886,0.020538,0.044138,0.082644,0.052517,-0.573770,0.064677,-0.140549,0.103182,0.238711,0.199837,
251,"Liao, H., et al. (2015). Plant diversity, soil biota and resistance to exotic invasion. Divers. Distrib., 21, 826–835.",10.1111/ddi.12319,gh,46.8411111,-114.0613889,103,1,2,competition,live_sterile,alone_together,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,12,Asteraceae,Achillea millefolium ,forb,dicot,perennial,total biomass,6,0.040500,0.016070,0.015830,0.008680,0.022170,0.008280,0.010500,0.004037,0.026240,0.050110,0.023248,0.024637,-0.437955,0.076351,-0.292484,0.049488,0.090054,0.124235,
253,"Liao, H., et al. (2015). Plant diversity, soil biota and resistance to exotic invasion. Divers. Distrib., 21, 826–835.",10.1111/ddi.12319,gh,46.8411111,-114.0613889,104,2,1,competition,live_sterile,alone_together,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,12,Asteraceae,Artemisia frigida ,shrub,dicot,perennial,total biomass,6,0.004000,0.008000,0.007670,0.015200,0.033670,0.028160,0.014000,0.002828,0.666667,0.654554,0.116581,0.006801,0.314482,1.321220,0.787629,0.783248,-0.495521,1.444602,
254,"Liao, H., et al. (2015). Plant diversity, soil biota and resistance to exotic invasion. Divers. Distrib., 21, 826–835.",10.1111/ddi.12319,gh,46.8411111,-114.0613889,104,2,2,competition,live_sterile,alone_together,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,12,Asteraceae,Artemisia frigida ,shrub,dicot,perennial,total biomass,6,0.005000,0.009510,0.001170,0.002400,0.055830,0.020680,0.033330,0.017443,0.602934,0.701293,0.022867,0.045648,-0.620746,1.304227,0.835607,0.625801,0.096566,1.372742,
256,"Liao, H., et al. (2015). Plant diversity, soil biota and resistance to exotic invasion. Divers. Distrib., 21, 826–835.",10.1111/ddi.12319,gh,46.8411111,-114.0613889,105,3,1,competition,live_sterile,alone_together,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,12,Poaceae,Festuca idahoensis ,grass,monocot,perennial,total biomass,6,0.367670,0.220760,0.204170,0.045480,0.185830,0.092090,0.091000,0.070999,0.060086,0.008270,0.040930,0.101454,-0.285919,0.068356,-0.328528,0.101016,-0.054879,0.210740,
257,"Liao, H., et al. (2015). Plant diversity, soil biota and resistance to exotic invasion. Divers. Distrib., 21, 826–835.",10.1111/ddi.12319,gh,46.8411111,-114.0613889,105,3,2,competition,live_sterile,alone_together,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,12,Poaceae,Festuca idahoensis ,grass,monocot,perennial,total biomass,6,0.212670,0.082310,0.206830,0.094570,0.185000,0.092100,0.182330,0.053437,0.024966,0.034844,0.041307,0.014316,-0.013921,0.059810,-0.069580,0.066273,0.006624,0.115433,
259,"Liao, H., et al. (2015). Plant diversity, soil biota and resistance to exotic invasion. Divers. Distrib., 21, 826–835.",10.1111/ddi.12319,gh,46.8411111,-114.0613889,106,4,1,competition,live_sterile,alone_together,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,12,Asteraceae,Gaillardia aristata ,forb,dicot,perennial,total biomass,6,0.129830,0.067950,0.075170,0.047050,0.042500,0.028010,0.030170,0.008110,0.045654,0.065295,0.072393,0.012043,-0.266634,0.110949,-0.506760,0.118047,0.079572,0.195385,
260,"Liao, H., et al. (2015). Plant diversity, soil biota and resistance to exotic invasion. Divers. Distrib., 21, 826–835.",10.1111/ddi.12319,gh,46.8411111,-114.0613889,106,4,2,competition,live_sterile,alone_together,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,12,Asteraceae,Gaillardia aristata ,forb,dicot,perennial,total biomass,6,0.080670,0.048690,0.111830,0.040950,0.075330,0.049220,0.073330,0.022286,0.060716,0.022348,0.071153,0.015394,0.161870,0.083064,-0.034231,0.131870,-0.173698,0.169612,
262,"Liao, H., et al. (2015). Plant diversity, soil biota and resistance to exotic invasion. Divers. Distrib., 21, 826–835.",10.1111/ddi.12319,gh,46.8411111,-114.0613889,107,5,1,competition,live_sterile,alone_together,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,12,Geraniaceae,Geranium viscosisimum ,forb,dicot,perennial,total biomass,6,0.115330,0.070300,0.095830,0.012420,0.109330,0.037380,0.092670,0.017178,0.061926,0.002800,0.019483,0.005727,-0.092347,0.064726,-0.026707,0.081409,0.009943,0.089935,
263,"Liao, H., et al. (2015). Plant diversity, soil biota and resistance to exotic invasion. Divers. Distrib., 21, 826–835.",10.1111/ddi.12319,gh,46.8411111,-114.0613889,107,5,2,competition,live_sterile,alone_together,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,12,Geraniaceae,Geranium viscosisimum ,forb,dicot,perennial,total biomass,6,0.073000,0.038130,0.091330,0.018290,0.146330,0.049140,0.072670,0.027746,0.045471,0.006684,0.018795,0.024296,0.111544,0.052155,0.334336,0.064267,-0.448117,0.095247,
